Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/11/25,HOUSING AND URBAN DEVELOPMENT,Cancel Unobligated CLIN 00002,"$1,521,942 ",BPA Call,Final,8600 86614924F00047,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866149,CPO : CPO; ACFO; WFCOD; REAL ESTATE,FNYSF7X4ELS5,SUMMIT CONSULTING LLC,DISTRICT OF COLUMBIA 98,200013713,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Asian-Pacific American Owned","Self-Certified Small Disadvantaged Business
Self-Certified HUBZone Joint Venture",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614924F00047&modNumber=P00003&idvAgencyID=&idvPIID=86614924A00001&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,"Training Materials FranklinCovey All Access Pass & Franklin Covey
Training Consultant Days","$1,327,833 ",Definitive Contract,Final,86614822C00010,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/7/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,KSE1ME58AQ17,FRANKLIN COVEY CLIENT SALES INC,UTAH 02,841192099,"Corporate Entity, Not Tax Exempt
For Profit Organization",,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,611420,COMPUTER TRAINING,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614822C00010&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,242 Program Feasibility Studies Data Web-Based Subscription,"$1,191,186 ",Definitive Contract,Final,86615621C00011,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,8600,866156,CPO : FHA HOUSING SUPPORT DIVISION,C4PVDC8AQS67,BERN RESOURCE GROUP LLC,CALIFORNIA 14,945884603,Partnership or Limited Liability Partnership,"Minority-Owned Business
Asian-Pacific American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,519130,INTERNET PUBLISHING AND BROADCASTING AND W,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615621C00011&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,HUD Handbook 4350.1 Revision,"$1,169,081 ",Definitive Contract,Final,86615721C00005,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,JFJ7CF3RYVE3,SRI CONSULTING SERVICES LLC,GEORGIA 07,300241550,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
All Awards","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615721C00005&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Nationwide Furniture System,"$1,115,300 ",BPA Call,Final,86614323F00052,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,GFQJBLPZWC44,"KNOLL, INC.",,18041,"Corporate Entity, Not Tax Exempt, Manufacturer of Goods, For Profit Organization",,,7110,OFFICE FURNITURE,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614323F00052&modNumber=P00002&idvAgencyID=&idvPIID=86614319A00002&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,"Negotiation and Labor Consultation Services for American Federation
of Government Employees (AFGE)/Collective Bargaining Agreement","$1,083,406 ",Definitive Contract,Final,86615124C00008,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,8600,866151,CPO : MANAGEMENT SUPPORT DIVISION,WRHHNUK5YBN1,RIVIDIUM INC.,VIRGINIA 11,221823930,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615124C00008&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Terminate for Convenience. Automated Valuation Model(Corelogic),"$970,501 ",Delivery/Task Order,Final,86614121F00033,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866141,CPO : CHICAGO OPERATIONS BRANCH,M7NZXNLQNF99,CORELOGIC SOLUTIONS LLC,CALIFORNIA 47,926187487,"Corporate Entity, Not Tax Exempt",,,R411,SUPPORT- PROFESSIONAL: REAL PROPERTY APPRA,522310,MORTGAGE AND NONMORTGAGE LOAN BROKERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614121F00033&modNumber=P00007&idvAgencyID=&idvPIID=GS23F0032U&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Broadband Access in HUD-Assisted Buildings Assessment.,"$936,488 ",Definitive Contract,Final,86614623C00003,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,FCRFND3JXDD7,"EXCELOUS, LLC",GEORGIA 11,300802232,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Black American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,541618,OTHER MANAGEMENT CONSULTING SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614623C00003&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Webinar Services for Philadelphia HOC,"$754,149 ",Definitive Contract,Final,86614320C00001,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,NRHJKA1XQHC9,EAST HILL VIDEO PRODUCTION COMP,PENNSYLVANIA 04,194463831,Sole Proprietorship,"Minority-Owned Business
Black American Owned","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",D304,IT AND TELECOM- TELECOMMUNICATIONS AND TRAN,512110,MOTION PICTURE AND VIDEO PRODUCTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614320C00001&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Termination for Convenience,"$739,301 ",BPA Call,Final,86614924F00026,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866149,CPO : CPO; ACFO; WFCOD; REAL ESTATE,FNYSF7X4ELS5,SUMMIT CONSULTING LLC,DISTRICT OF COLUMBIA 98,200013713,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned","Self-Certified Small Disadvantaged Business
Self-Certified HUBZone Joint Venture",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614924F00026&modNumber=P00001&idvAgencyID=&idvPIID=86614924A00001&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Organizational Culture,"$702,501 ",Definitive Contract,Final,86614323C00001,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,W5FJKFG2Y589,NATIVE AMERICAN INDUSTRIAL SOLUT,SOUTH CAROLINA 07,295854817,"Corporate Entity, Not Tax Exempt","American Indian Owned
Minority-Owned Business
Native American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614323C00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,"Call Order for purchase and installation of office furniture in
(Limit 250 characters) various office locations.","$567,809 ",BPA Call,Final,86614324F00052,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,GFQJBLPZWC44,"KNOLL, INC.",,18041,"Corporate Entity, Not Tax Exempt",,,7110,OFFICE FURNITURE,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTUR,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00052&modNumber=P00001&idvAgencyID=&idvPIID=86614324A00004&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Mental Health First Aid Training,"$484,200 ",Definitive Contract,Final,86615623C00021,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/28/25,8600,866156,CPO : FHA HOUSING SUPPORT DIVISION,GDAKQ7A8MG55,NATIONAL COUNCIL FOR BEHAVIORAL,DISTRICT OF COLUMBIA 98,200052434,"Corporate Entity, Tax Exempt",Non Profit Organization,,U009,EDUCATION/TRAINING- GENERAL,611699,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRU,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615623C00021&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Outward Mindset TM Training Services for HUD staff Enterprise Wide,"$348,360 ",BPA Call,Final,8600 86614324F00051,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,XDJYKQ4BVTJ3,"ARBINGER COMPANY, THE",UTAH 02,840253067,"Corporate Entity, Not Tax Exempt
For Profit Organization",,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00051&modNumber=P00001&idvAgencyID=&idvPIID=86614324A00007&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,"407 User Licensing Agreements granting access to over 15,000
digital courses across all online learning platforms, this platform
serves as the ideal educational setting.","$173,993 ",Purchase Order,Final,86614824P00001,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/11/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,DT8KJHZXVJH5,CARAHSOFT TECHNOLOGY CORP,VIRGINIA 11,201905230,"Corporate Entity, Not Tax Exempt",,,U099,EDUCATION/TRAINING- OTHER,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614824P00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Enterprise-wide solution for research subscription services renewal,"$161,056 ",Delivery/Task Order,Final,86614324F00040,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,CFALLJBGZ697,"GARTNER, INC.",CONNECTICUT 04,069027747,"Corporate Entity, Not Tax Exempt",,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324F00040&modNumber=P00001&idvAgencyID=&idvPIID=03310324D0001&contractType=AWARD
2/11/25,HOUSING AND URBAN DEVELOPMENT,Federal Human Capital Collaborative Memberships,"$82,500 ",Purchase Order,Final,86614324P00002,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/19/25,8600,866143,CPO : PHILADELPHIA OPERATIONS BRANC,ZCCVNJ2LNMC3,PARTNERSHIP FOR PUBLIC SERVICE I,DISTRICT OF COLUMBIA 98,200052028,"Corporate Entity, Tax Exempt",Non Profit Organization,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,813920,PROFESSIONAL ORGANIZATIONS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614324P00002&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Financial Advisory Services,"$14,235,420 ",Delivery/Task Order,Final,86615720F00011,P00013,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NZFLEBM21594,FEDERAL PRACTICE GROUP LLC,VIRGINIA 08,222023405,Partnership or Limited Liability Partnership,"Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business",,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615720F00011&modNumber=P00013&idvAgencyID=&idvPIID=47QRAA19D003B&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Terminate BPA Call in its entirety,"$5,410,965 ",BPA Call,Final,8600 86615122F00018,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615122F00018&modNumber=P00006&idvAgencyID=&idvPIID=86615121A00003&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Data Program Support Services,"$4,290,578 ",Definitive Contract,Final,86614822C00006,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/14/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,CYWKLM2REBH6,ICUBE INC.,VIRGINIA 11,220316203,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614822C00006&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,"Multifamily Assessment Contractors for Green Resilient and Retrofit
(Limit 250 characters)
Program","$3,931,528 ",BPA Call,Final,8600 86615724F00030,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00030&modNumber=P00002&idvAgencyID=&idvPIID=86615324A00001&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,EO14042 Cost Benefit Analysis,"$3,830,526 ",Definitive Contract,Final,86615621C00010,P00003,CLOSE OUT,2/13/25,8600,866156,CPO : FHA HOUSING SUPPORT DIVISION,QHAVLBF73M57,WORLD SERVICES LLC,VIRGINIA 11,220791151,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",B505,SPECIAL STUDIES/ANALYSIS- COST BENEFIT,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615621C00010&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Multifamily Assessment Contractors for Green Resilient and Retrofit,"$2,824,708 ",BPA Call,Final,8600 86615724F00029,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,N9NJK877QJK9,GUIDEHOUSE INC.,VIRGINIA 11,221023600,"Corporate Entity, Not Tax Exempt",,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00029&modNumber=P00002&idvAgencyID=&idvPIID=86615324A00005&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,"Multifamily Assessment Contractors for Green Resilient and Retrofit
(Limit 250 characters)
Program (GRRP), Project #1","$2,665,252 ",BPA Call,Final,86615724F00021,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NE9KSKUZ8CW9,"JONES LANG LASALLE AMERICAS, INC",DISTRICT OF COLUMBIA 98,200061806,"Corporate Entity, Not Tax Exempt
For Profit Organization",,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00021&modNumber=P00001&idvAgencyID=&idvPIID=86615324A00002&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,"Multifamily Assessment Contractors for Green Resilient and Retrofit
(Limit 250 characters)
Program, Project #2","$2,638,651 ",BPA Call,Final,86615724F00024,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NE9KSKUZ8CW9,"JONES LANG LASALLE AMERICAS, INC",DISTRICT OF COLUMBIA 98,200061806,"Corporate Entity, Not Tax Exempt",,,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00024&modNumber=P00001&idvAgencyID=&idvPIID=86615324A00002&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Multifamily Assessment Contractors for Green Resilient and Retrofit,"$1,978,750 ",BPA Call,Final,86615724F00026,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NX7NA1UMKKQ8,CREDITVEST INC,PENNSYLVANIA 17,150907647,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00026&modNumber=P00002&idvAgencyID=&idvPIID=86615324A00004&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,"Multifamily Assessment Contractors for Green Resilient and Retrofit
(Limit 250 characters)
Program","$1,716,943 ",BPA Call,Final,86615724F00027,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NX7NA1UMKKQ8,CREDITVEST INC,PENNSYLVANIA 17,150907647,"Corporate Entity, Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Women-Owned Business, Women-Owned Small Business",,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00027&modNumber=P00002&idvAgencyID=&idvPIID=86615324A00004&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Multifamily Assessment Contractors for Green Resilient and Retrofit,"$1,690,229 ",BPA Call,Final,86615724F00032,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866157,CPO : RESEARCH AND COMMUNITY SUPPO,NX7NA1UMKKQ8,CREDITVEST INC,PENNSYLVANIA 17,150907647,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R710,SUPPORT- MANAGEMENT: FINANCIAL,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615724F00032&modNumber=P00002&idvAgencyID=&idvPIID=86615324A00004&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,EO14042 - OCPO Acquisition Support Services Termination.,"$998,077 ",BPA Call,Final,86615124F00006,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,8600,866151,CPO : MANAGEMENT SUPPORT DIVISION,PS8NEAKW1MM4,"JEFFERSON CONSULTING GROUP, LLC",98,200061215,"For Profit Organization
Limited Liability Corporation","Women-Owned Business
Women-Owned Small Business",,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615124F00006&modNumber=P00004&idvAgencyID=&idvPIID=86615122A00007&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,"EO14042 Technical Evaluation Panel (TEP) Chair Support Services -
(Limit 250 characters)","$580,426 ",Delivery/Task Order,Final,8600 86615121F00010,P00004,CLOSE OUT,2/13/25,8600,866151,CPO : MANAGEMENT SUPPORT DIVISION,MJSVJ7Z9SSB8,DYNAMIC-PRO INC.,VIRGINIA 08,220423516,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615121F00010&modNumber=P00004&idvAgencyID=&idvPIID=DU100H16D02&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Termination for Convenience -TEP Chair Support - PIH Projects,"$285,600 ",BPA Call,Final,8600 86615123F00008,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/15/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,MJSVJ7Z9SSB8,DYNAMIC-PRO INC.,VIRGINIA 08,220423516,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615123F00008&modNumber=P00004&idvAgencyID=&idvPIID=86615123A00004&contractType=AWARD
2/18/25,HOUSING AND URBAN DEVELOPMENT,Termination for Convenience -TEP Chair -PD&R,"$212,786 ",BPA Call,Final,8600 86615123F00014,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/17/25,8600,866146,CPO : CPO; ACFO; SFCOD; FT WORTH OP,MJSVJ7Z9SSB8,DYNAMIC-PRO INC.,VIRGINIA 08,220423516,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86615123F00014&modNumber=P00005&idvAgencyID=&idvPIID=86615123A00004&contractType=AWARD
2/19/25,HOUSING AND URBAN DEVELOPMENT,"PD&R will procure the services of a Contractor to describe 1) the
needs, preferences, and early childcare solutions used by HUD-
assisted families, 2) how HUD-assisted families engage with early
hild i t 3) th t il","$789,821 ",Definitive Contract,Final,86614822C00014,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/18/25,8600,866148,CPO : PROGRAM SUPPORT BRANCH DENV,FNYSF7X4ELS5,SUMMIT CONSULTING LLC,DISTRICT OF COLUMBIA 98,200012993,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Asian-Pacific American Owned",Self-Certified Small Disadvantaged Business,B545,SPECIAL STUDIES/ANALYSIS- HOUSING/COMMUNITY,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=8600&PIID=86614822C00014&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
