Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
DEPARTMENT OF TREASURY,Leadership Training,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=2033H624F00109&modNumber=P00001&idvAgencyID=&idvPIID=GS10F0140V&contractType=AWARD,"$12,900 ",Delivery/Task Order,Final,2033H624F00109,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/22/25,2036,2033H6,FISCAL SERVICE,2036,BUREAU OF THE FISCAL SERVICE,2033H6,FISCAL SERVICE,ZCCVNJ2LNMC3,"PARTNERSHIP FOR PUBLIC SERVICE,",DISTRICT OF COLUMBIA 98,200052028,"Corporate Entity, Tax Exempt",Non Profit Organization,,4/30/24,,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Termination for Convenience (Complete). Termination date
(Limit 250 characters)
02/24/2025. - Partnership in Public Service for the Excellence In
Current: 149
Government Fellows Program",
DEPARTMENT OF TREASURY,Municipality Climate Survey; License,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20341524P00018&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$10,000 ",Purchase Order,Final,2036 20341524P00018,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,2036,203415,ARC DIV PROC SVCS - DO,2001,DEPARTMENTAL OFFICES,2031MA,OFC FIN RESEARCH/FSOC,H3ETMB4KMWF3,INTERNATIONAL CITY/COUNTY MANAG,DISTRICT OF COLUMBIA 98,200024290,"Corporate Entity, Tax Exempt",Non Profit Organization,,8/30/24,,,7630,NEWSPAPERS AND PERIODICALS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Termination for Convenience - ICMA Survey - as directed by
(Limit 250 characters)
Executive Order 14222.",
DEPARTMENT OF TREASURY,HC ORGANIZATIONAL DEVELOPMENT AND ENGAGEMENT SUPPORT,2/21/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2046&PIID=2031JW24F00057&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA21D005Z&contractType=AWARD,"$3,626,609 ",Delivery/Task Order,Final,2031JW24F00057,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,2046,2031JW,COMPTROLLER OF CURRENCY ACQS,2046,OFFICE OF THE COMPTROLLER OF THE C,2031JW,COMPTROLLER OF CURRENCY ACQS,LT5RY4N4EJW3,"TIMOTHY J. LONDAGIN, LLC",98,200091789,Partnership or Limited Liability Partnership,"American Indian Owned
Minority-Owned Business
Native American Owned","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",5/1/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,HC Organizational Development and Engagement Support,
DEPARTMENT OF TREASURY,REGULATORY IMPACT ANALYSIS ADVISORY SUPPORT,2/21/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2001&PIID=2032H323F00098&modNumber=P00003&idvAgencyID=&idvPIID=GS10F0275P&contractType=AWARD,"$373,556 ",Delivery/Task Order,Final,2032H323F00098,P00003,CLOSE OUT,2/20/25,2001,2032H3,TREASURY OPERATIONS,2001,DEPARTMENTAL OFFICES,2031KV,TREASURY OPERATIONS,YY46Q97AEZA8,"RAND CORPORATION, THE",CALIFORNIA 36,904013208,Non Profit Organization,,,8/7/23,,,B507,SPECIAL STUDIES/ANALYSIS- ECONOMIC,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Regulatory Impact Analysis Advisory Support,
DEPARTMENT OF TREASURY,SUPPORT OF THE ONEARC PROGRAM TO BUILD AND MAINTAIN FUNCTIONALITY WITHIN THE ONEARC PORTAL.,2/24/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=2033H622F00160&modNumber=P00007&idvAgencyID=&idvPIID=FA701420D0006&contractType=AWARD,"$12,665,030 ",Delivery/Task Order,Final,2036 2033H622F00160,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/22/25,2036,2033H6,FISCAL SERVICE,2036,BUREAU OF THE FISCAL SERVICE,2033H6,FISCAL SERVICE,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA 08,222032151,"Corporate Entity, Not Tax Exempt
For Profit Organization
Foreign Owned",,,8/19/22,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Support of the oneARC Program to build and maintain functionality
(Limit 250 characters)
within the oneARC Portal.",
DEPARTMENT OF TREASURY,OPM POSTAL REFORM IMPLEMENTATION SERVICES,2/24/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=2033H625F00023&modNumber=P00002&idvAgencyID=&idvPIID=2033H621A00006&contractType=AWARD,"$2,372,806 ",BPA Call,Final,2033H625F00023,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/22/25,2036,2033H6,FISCAL SERVICE,2036,BUREAU OF THE FISCAL SERVICE,2033H6,FISCAL SERVICE,CKV2L9GZKJK3,DELOITTE CONSULTING LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,11/18/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,OPM Postal Reform Implementation Services,
DEPARTMENT OF TREASURY,"UNITED STATES MINT QUALITY MANAGEMENT SYSTEM (QMS) ISO 9001:2015. THE CONTRACT VALUE SHALL NOT EXCEED $6,426,269.00. THE PERIOD OF PERFORMANCE WILL BE FROM 5/1/2024 - 4/30/2029 IF ALL OPTIONS ARE EXERCISED.",2/26/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2044&PIID=2031JG24D00024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=IDV,"$6,426,269 ",Other IDC,Final,2031JG24D00024,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/25/25,2044,2031JG,US MINT HEADQUARTERS,2044,UNITED STATES MINT,2031JG,US MINT HEADQUARTERS,JHXKTYRL8JB9,"DYNAMIS, INC.",VIRGINIA 08,220424578,"Corporate Entity, Not Tax Exempt",,,5/1/24,4/30/25,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"The United States Mint is terminating contract 2031JG24D00024, for
convenience. This termination is in accordance with clauses I.2
CHANGES (OCT 1998) CLAUSE # GP-2 and I.15 TERMINATION (APR 2017)
C S # G 15 f t t",
DEPARTMENT OF TREASURY,MICROLOAN GUARANTEE PROGRAM,2/27/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20341924C00009&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$332,005 ",Definitive Contract,Final,20341924C00009,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,2036,203419,ARC DIV PROC SVCS - ADF,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11UADF,U.S. AFRICAN DEVELOPMENT FOUNDATIO,VPHEACN4EQD6,TPGI CPA PLLC,,99402,"Corporate Entity, Not Tax Exempt
Limited Liability Corporation","Asian-Pacific American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business
SBA-Certified Women-Owned Small Business
SBA-Certified Economically Disadvantaged Women-Owned Small
Business",8/12/24,,,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Mod P00001: Termination for Convenience,
DEPARTMENT OF TREASURY,Excellence in Government Fellows Training-Partnership for Public Service,2/28/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2001&PIID=2032H325P00003&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$12,900 ",Purchase Order,Final,2032H325P00003,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/7/25,2001,2032H3,TREASURY OPERATIONS,2001,DEPARTMENTAL OFFICES,2031KY,PRIVACY AND TRANSPARENCY,ZCCVNJ2LNMC3,PARTNERSHIP FOR PUBLIC SERVICE I,DISTRICT OF COLUMBIA 98,200052028,"Corporate Entity, Tax Exempt",Non Profit Organization,,10/15/24,,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,TERMINATED FOR THE GOVERNMENT'S CONVENIENCE,
DEPARTMENT OF TREASURY,Strategic Media Campaign Services to include a Geofencing Platform,3/4/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2043FY22P00269&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$388,275 ",Purchase Order,Final,2050 2043FY22P00269,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2031HX,"HUMAN CAP, CORP PROGRAMS",C6WKRT3RMGH9,AGILITY DIGITAL INC,UTAH 03,840209896,"Corporate Entity, Not Tax Exempt
For Profit Organization
Subchapter S Corporation",,,9/30/22,,,R701,SUPPORT- MANAGEMENT: ADVERTISING,541613,MARKETING CONSULTING SERVICES,Strategic Media Campaign Services to include a Geofencing Platform,
DEPARTMENT OF TREASURY,DOC DEDICATED RESOURCE,3/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00580&modNumber=P00001&idvAgencyID=&idvPIID=2032H521A00024&contractType=AWARD,"$537,869 ",BPA Call,Final,2050 2032H524F00580,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),9/25/24,2050,2032H5,IT STRATEGY AND MODERNIZATION,2001,DEPARTMENTAL OFFICES,2031KR,CHIEF INFORMATION OFFICER,CCQBGD21CZR9,CREATIVE SYSTEMS AND CONSULTING,VIRGINIA 08,222023962,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation",,SBA Certified 8(a) Program Participant,9/4/24,,,DE01,"IT and Telecom - End User: Help Desk; Tier 1-2, Workspa",541511,CUSTOM COMPUTER PROGRAMMING SERVICES,,
DEPARTMENT OF TREASURY,OFFICE OF CHIEF PROCUREMENT OFFICER EXECUTIVE ORGANIZATIONAL SUPPORT SERVICES THINKTEK FOLLOW ON,3/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524C00055&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$4,410,314 ",Definitive Contract,Final,2032H524C00055,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/13/25,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2031HZ,COMMISSIONER,KKGEKYCKLAA6,THINKTEK LLC,VIRGINIA 11,220306044,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Service-Disabled Veteran-Owned Business
Veteran-Owned Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",7/21/24,,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Office of Chief Procurement Officer Executive organizational
support services to modernize business processes",
DEPARTMENT OF TREASURY,"This contractor supports strategic and operational human capital solutions which enhance the current Security Program, and to ensure that IRS employees and contractors meet federal security and suitability standards as outlined herein.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H823F00039&modNumber=P00003&idvAgencyID=&idvPIID=GS02Q16DCR0100&contractType=AWARD,"$96,491,454 ",Delivery/Task Order,Final,2032H823F00039,P00003,FUNDING ONLY ACTION,3/29/24,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2031HQ,HUMAN CAPITAL OFFICER,M6QXLD9AVAL8,PARKER TIDE CORP.,DISTRICT OF COLUMBIA 98,200062731,"Corporate Entity, Not Tax Exempt",Veteran-Owned Business,,3/5/24,,,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),Personnel Security Support Services,
DEPARTMENT OF TREASURY,"This contract provides a secure website, application processing, a staffed helpdesk and issues payments on behalf of IRS to child care providers for IRS employees who qualify for financial assistance",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H824F00030&modNumber=P00001&idvAgencyID=&idvPIID=2032H824D00001&contractType=AWARD,"$75,000,000 ",Delivery/Task Order,Final,2050 2032H824F00030,P00001,OTHER ADMINISTRATIVE ACTION,3/12/25,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2091JD,CENTRALIZED PAYMENTS,EZAFPH5GL3E9,CHEROKEE NATION FEDERAL CONSUL,OKLAHOMA 01,741033123,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Native American Owned
Tribally Owned Firm","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",3/1/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,624410,CHILD CARE SERVICES,CHILD CARE SUBSIDY PROGRAM SERVICES,
DEPARTMENT OF TREASURY,"Support to provide the expertise to design, develop, implement, manage, and evaluate a strategic recruitment service.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H824F00039&modNumber=P00004&idvAgencyID=&idvPIID=GS02Q16DCR0094&contractType=AWARD,"$49,484,413 ",Delivery/Task Order,Final,2050 2032H824F00039,P00004,OTHER ADMINISTRATIVE ACTION,2/5/25,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2031HX,"HUMAN CAP, CORP PROGRAMS",LYYEPDNMH4M1,"JOB PERFORMANCE SYSTEMS, INC.",VIRGINIA 08,223143134,"Corporate Entity, Not Tax Exempt",,,6/3/24,,,R701,SUPPORT- MANAGEMENT: ADVERTISING,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),IRS Strategic Recruitment Services,
DEPARTMENT OF TREASURY,"Support the transition of the Treasury Executive Office for Asset Forfeiture to shared services, by providing project management, organizational change management (OCM), functional accounting, and systems testing and support.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=2033H623F00104&modNumber=P00006&idvAgencyID=&idvPIID=2033H623A00004&contractType=AWARD,"$8,274,315 ",BPA Call,Final,2033H623F00104,P00006,OTHER ADMINISTRATIVE ACTION,2/3/25,2036,2033H6,FISCAL SERVICE,2036,BUREAU OF THE FISCAL SERVICE,2033H6,FISCAL SERVICE,N9NJK877QJK9,GUIDEHOUSE INC.,VIRGINIA 11,221023600,"Corporate Entity, Not Tax Exempt",,,5/23/23,,,R406,SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELO,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,TEOAF Migration Project Support,
DEPARTMENT OF TREASURY,OUTPOST TECH SUPPORT SBIR PHASE III,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2023H225C00014&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$7,720,757 ",Definitive Contract,Final,2023H225C00014,P00001,OTHER ADMINISTRATIVE ACTION,1/16/25,2050,2023H2,SPECIAL OPERATIONS,2050,INTERNAL REVENUE SERVICE,2031JB,CRIMINAL INVESTIGATION,HKXLQKMA5Q87,THE OUTPOST LLC,VIRGINIA 08,223143379,"Corporate Entity, Not Tax Exempt",Veteran-Owned Business,Self-Certified Small Disadvantaged Business,12/19/24,,,B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,OUTPOST Tech Support SBIR PHASE III,
DEPARTMENT OF TREASURY,IRS FILING SEASON ANALYSIS AND REVIEW FY25,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H525F00033&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$6,280,672 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,IRS IMF MOD PROGRAM CADE2 FY25 SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H525F00070&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$6,124,257 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,Human Capital and Strategic Planning Support,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZA21F00247&modNumber=P00005&idvAgencyID=&idvPIID=GS02Q16DCR0105&contractType=AWARD,"$5,328,767 ",Delivery/Task Order,Final,2031ZA21F00247,P00005,OTHER ADMINISTRATIVE ACTION,5/20/24,2041,2031ZA,OFFICE OF THE CHIEF PROCUREMENT OF,2041,BUREAU OF ENGRAVING AND PRINTING,2031GJ,OFFICE OF HUMAN RESOURCES,EANSA1SCLJV6,"R3 GOVERNMENT SOLUTIONS, LLC",VIRGINIA 08,222034420,"For Profit Organization, Limited Liability Corporation","Women-Owned Business, Women-Owned Small Business",,5/17/21,,,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),,
DEPARTMENT OF TREASURY,NEW TASK ORDER ECM,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00361&modNumber=P00002&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$4,975,748 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,New Task Order to support LB&J Data Science,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00350&modNumber=0&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$3,818,392 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,RAD (Rapid Application Development) Analytic Support,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20341223F00024&modNumber=P00002&idvAgencyID=&idvPIID=2032H322A00007&contractType=AWARD,"$3,672,987 ",BPA Call,Final,20341223F00024,P00002,OTHER ADMINISTRATIVE ACTION,2/19/25,2036,203412,ARC DIV PROC SVCS - FINCEN,2026,FINANCIAL CRIME ENFORCEMENT NETWO,2033H3,GENREAL OPERATIONS,JCBMLGPE6Z71,BOOZ ALLEN HAMILTON INC.,VIRGINIA 11,221023830,"Corporate Entity, Not Tax Exempt",,,2/1/23,,,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Cyber Support Services,
DEPARTMENT OF TREASURY,ENTERPRISE CASE MANAGEMENT OFFICE (ECMO) INITIATIVE AND PROGRAM MANAGEMENT SUPPORT,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00754&modNumber=P00002&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$2,771,754 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,"PROJECT MANAGEMENT CONSULTING SERVICES FOR TAXPAYER SERVICES, MEDIA & PUBLICATIONS.",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H825F00021&modNumber=0&idvAgencyID=&idvPIID=2032H824A00014&contractType=AWARD,"$2,602,676 ",BPA Call,Final,2050 2032H825F00021,0,,12/19/24,2050,2032H8,OPERATION SERVICES,2050,INTERNAL REVENUE SERVICE,2031HS,WAGE AND INVESTMENT,H3UEVKGGU2A4,"CHEVO CONSULTING, LLC",MARYLAND 08,208503268,Partnership or Limited Liability Partnership,"Women-Owned Business
Women-Owned Small Business",,12/20/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Project Management Consulting Services for Taxpayer Services, Media
& Publications.",
DEPARTMENT OF TREASURY,NEW TASK ORDER FOR LAR MITRE SUPPORT FY24,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00307&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$2,601,855 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,"ENTERPRISE PROGRAM MANAGEMENT OFFICE, CLEAN ENERGY (CE) PROGRAM MANAGEMENT OFFICE (PMO) MITRE SUPPORT",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H525F00044&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$2,024,602 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,MITRE FFRDC SUPPORT FOR IR MODERNIZATION FY24,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00354&modNumber=P00001&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$1,999,666 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,"SMALL BUSINESS/SELF EMPLOYED (SB/SE) CUSTOMER EXPERIENCE, EXPECTATIONS, AND NEEDS (CEEN) SURVEY",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H821F00241&modNumber=P00008&idvAgencyID=&idvPIID=2032H821A00002&contractType=AWARD,"$1,873,802 ",BPA Call,Final,2032H821F00241,P00008,OTHER ADMINISTRATIVE ACTION,2/28/25,2050,2043FY,TAXPAYER FOCUSED SUPPORT,2050,INTERNAL REVENUE SERVICE,2032J2,SMALL BUSINESS/SELF EMPLOYED,DQ7YZMCK5D23,"ICF MACRO, INC",VIRGINIA 11,201905231,"Corporate Entity, Not Tax Exempt",,,9/28/21,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Small Business/Self Employed (SB/SE) Customer Experience,
(Limit 250 characters) 
Expectations, and Needs (CEEN) Survey",
DEPARTMENT OF TREASURY,The contractor executes and provides professional support staff to assist Applications Project Management Division program and project managers in timely execution of IT projects by completing activities in the IT Request for Change process.,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2041&PIID=2031ZB25F00030&modNumber=0&idvAgencyID=&idvPIID=47QRAA23D005M&contractType=AWARD,"$1,621,763 ",Delivery/Task Order,Final,2031ZB25F00030,0,,1/24/25,2041,2031ZB,IRS BEP IT ACQUISITION,2041,BUREAU OF ENGRAVING AND PRINTING,2031HA,OFFICE OF ENTERPRISE SOLUTIONS,LCE9Q49DAK67,"AIM CONSULTING, LLC",MARYLAND 01,210158945,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,1/25/25,,,DF01,IT AND TELECOM - IT MANAGEMENT SUPPORT SERV,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Requires the Contractor to execute &
provide consulting, technical expertise, & administrative support
necessary to provide professional support staff to assist managers",
DEPARTMENT OF TREASURY,"LBI EVALUATION AND AUDIT SUPPORT: Vendor provides technical expertise , guidance, and recommendation on high-tech tax issues, including support with issued involving TPs' research credit and experimental expenditures",2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H524F00449&modNumber=0&idvAgencyID=&idvPIID=TIRNO99D00005&contractType=AWARD,"$1,499,820 ",BPA Call,NEW,4732,0,,,4732,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT OF TREASURY,SMALL BUSINESS/ SELF EMPLOYED (SB/SE) NEEDS AND ENGAGEMENT SURVEY OF TAX PROFESSIONALS (NEST),2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2050&PIID=2032H822F00215&modNumber=P00006&idvAgencyID=&idvPIID=2032H821A00002&contractType=AWARD,"$1,446,632 ",BPA Call,Final,2032H822F00215,P00006,OTHER ADMINISTRATIVE ACTION,2/28/25,2050,2043FY,TAXPAYER FOCUSED SUPPORT,2050,INTERNAL REVENUE SERVICE,2032J2,SMALL BUSINESS/SELF EMPLOYED,DQ7YZMCK5D23,"ICF MACRO, INC",VIRGINIA 11,201905231,"Corporate Entity, Not Tax Exempt",,,9/29/22,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Small Business/ Self Employed (SB/SE) Needs and Engagement Survey
(Limit 250 characters)
of Tax Professionals (NEST)
Current: 93",
DEPARTMENT OF TREASURY,Quality Management System,2/18/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2044&PIID=2031JG24F00284&modNumber=P00001&idvAgencyID=&idvPIID=2031JG24D00024&contractType=AWARD,"$1,199,994 ",Delivery/Task Order,Final,2031JG24F00284,P00001,FUNDING ONLY ACTION,10/8/24,2044,2031JG,US MINT HEADQUARTERS,2044,UNITED STATES MINT,2031JG,US MINT HEADQUARTERS,JHXKTYRL8JB9,"DYNAMIS, INC.",VIRGINIA 08,220424578,"Corporate Entity, Not Tax Exempt",,,5/2/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"The purpose of this modification is to add funding in the amount of
$649,592.80 to delivery order 2031JG24F00284 .",
